original_name,original_code,translated_name,HCAT3_name,HCAT3_code,HCAT2_name,HCAT2_code
Autres plantes ornementales sous serre,,Other greenhouse ornamentals,greenhouse_foil_film,3305000000,greenhouse_foil_film,3305000000
Cultures fruitières annuelles - Fraise sous serre,,Annual fruit crops - Greenhouse strawberries,greenhouse_foil_film,3305000000,greenhouse_foil_film,3305000000
Cultures maraîchères sous verre,,Market vegetables under glass,greenhouse_foil_film,3305000000,greenhouse_foil_film,3305000000
Cultures permanentes sous serre,,Permanent crops under glass,greenhouse_foil_film,3305000000,greenhouse_foil_film,3305000000
Fleurs et plantes ornementales sous serre,,Flowers and ornamental plants in greenhouses,greenhouse_foil_film,3305000000,greenhouse_foil_film,3305000000
Cultures forestières à rotation courte (taillis à très courte rotation),883,Short rotation forest crops (very short rotation coppice),tree_wood_forest,3306000000,tree_wood_forest,3306000000
parcelle boisée présentant un couvert forestier,,wooded parcel with forest cover,tree_wood_forest,3306000000,tree_wood_forest,3306000000
Parcelle boisée présentant un couvert forestier,,wooded parcel with forest cover,tree_wood_forest,3306000000,tree_wood_forest,3306000000
Pépinières de plants forestiers,9560,Forest plant nurseries,tree_wood_forest,3306000000,tree_wood_forest,3306000000
Sapins de Noël,,Christmas trees,tree_wood_forest,3306000000,tree_wood_forest,3306000000
Sapins de Noël/ Résineux,962,Christmas trees/Softwood,tree_wood_forest,3306000000,tree_wood_forest,3306000000
Boisement de terre agricole (art 31 du R.(CE) 1257/1999) – dérogation,,Afforestation of agricultural land (art 31 of R.(EC) 1257/1999) - derogation,afforestation_reforestation,3306010000,afforestation_reforestation,3306010000
Boisement de terre agricole (art 31 du R.(CE) 1257/1999) ? dérogation,,Afforestation of agricultural land (art 31 of R.(EC) 1257/1999) - derogation,afforestation_reforestation,3306010000,afforestation_reforestation,3306010000
Couvert naturel/spontané,,Natural/spontaneous cover,unmaintained,3308000000,unmaintained,3308000000
Autres,,Other,not_known_and_other,3399000000,not_known_and_other,3399000000
Autres bâtiments,,Other buildings,not_known_and_other,3399000000,not_known_and_other,3399000000
Autres couverts semés,,Other Cover Crops,not_known_and_other,3399000000,not_known_and_other,3399000000
Autres couverts semés que ceux déjà listés ,,Other cover crops than those already listed,not_known_and_other,3399000000,not_known_and_other,3399000000
Couvert favorisant la faune,,Wildlife-friendly cover,not_known_and_other,3399000000,not_known_and_other,3399000000
"Mare, étang, lac, plan d'eau",,"Pond, lake, body of water",not_known_and_other,3399000000,not_known_and_other,3399000000
"Parcelle bâtie, ou zone artificialisée",,"Built-up plot, or artificial zone",not_known_and_other,3399000000,not_known_and_other,3399000000
Parcelle de sport ou loisir,,Sports or leisure plot,not_known_and_other,3399000000,not_known_and_other,3399000000
"Utilisation non agricole (stockage de grume, ..) ou terrain vague",,"Non-agricultural use (log storage, etc.) or wasteland",not_known_and_other,3399000000,not_known_and_other,3399000000
"utilisation non agricole (stockage de grume, ..) ou terrain vague",,"Non-agricultural use (log storage, etc.) or wasteland",not_known_and_other,3399000000,not_known_and_other,3399000000
